Operateur,x,y,2G,3G,4G
Bouygues,182298,6785220,1,1,1
Free,182299,6785221,0,1,1
SFR,182300,6785213,1,1,1
Orange,182859,6775132,1,1,0
SFR,183167,6780531,1,1,1
Bouygues,183175,6780537,1,1,1
Free,183175,6780537,0,1,1
Orange,183330,6775018,1,1,1
Free,183607,6776139,0,1,1
Bouygues,183615,6776146,1,1,1
SFR,183615,6776152,1,1,1
Orange,183617,6776141,1,1,0
SFR,183685,6859859,1,1,1
Bouygues,183687,6859845,1,1,1
Bouygues,183910,6821859,1,1,1
SFR,183910,6821859,1,1,1
Bouygues,183986,6872438,1,0,0
SFR,184098,6814536,1,1,1
Bouygues,184102,6814551,1,1,1
Free,184103,6814552,0,1,1
Free,184264,6778400,0,1,1
Orange,184265,6778404,1,1,0
Orange,184267,6822214,1,1,0
SFR,184311,6866914,1,1,1
Bouygues,184319,6866910,1,1,1
Orange,184376,6814718,1,1,0
Orange,184501,6774245,1,1,1
Bouygues,184626,6777575,1,1,1
SFR,184630,6777570,1,1,1
Free,185037,6866376,0,1,1
Orange,185041,6866379,1,1,0
SFR,185130,6872453,0,1,0
Bouygues,185177,6787001,1,1,1
SFR,185181,6786951,1,1,1
Bouygues,185496,6859785,1,1,1
Free,185499,6859798,0,1,1
Orange,185623,6848123,1,1,1
Orange,185746,6773612,1,1,0
Orange,186040,6862604,1,1,0
SFR,186314,6775373,1,1,1
Bouygues,186317,6775385,1,1,1
Orange,186319,6775390,1,1,0
Bouygues,186537,6803924,1,1,1
SFR,186537,6803924,1,1,1
Orange,186538,6868606,1,1,0
SFR,186540,6863698,1,1,1
Orange,186554,6863683,1,1,1
SFR,186555,6868581,1,1,1
Bouygues,186556,6868578,1,1,1
Bouygues,186563,6863677,1,1,1
Free,186564,6863678,0,1,0
Orange,187044,6773225,0,1,0
Orange,187125,6788399,1,1,0
SFR,187740,6787973,1,1,1
Bouygues,187744,6787954,1,1,1
Free,187745,6787979,0,1,1
Free,187868,6869443,0,1,0
Bouygues,187966,6869467,1,1,1
SFR,187966,6869467,1,1,1
Orange,188011,6869511,0,1,1
SFR,188215,6783254,1,1,1
Bouygues,188219,6783264,1,1,1
Bouygues,188431,6847523,1,1,1
Free,188432,6847523,0,1,1
SFR,188435,6847520,1,1,1
Free,188519,6767014,0,1,0
Orange,188520,6767018,1,1,0
Orange,188643,6778124,1,1,0
SFR,188649,6778123,1,1,1
Bouygues,188653,6778129,1,1,1
Free,188653,6778130,0,1,1
Bouygues,188967,6767639,1,1,1
SFR,188967,6767639,1,1,1
Orange,189079,6772617,1,1,1
Bouygues,189922,6772796,1,1,1
Free,189923,6772796,0,1,1
SFR,189925,6772806,1,1,1
Orange,190398,6785382,0,1,1
Bouygues,190405,6785385,1,1,1
SFR,190405,6785385,1,1,1
Orange,190658,6783299,0,1,1
Orange,190833,6834763,1,1,0
Bouygues,190843,6834786,1,1,1
Free,190843,6834786,0,1,1
SFR,190843,6834786,1,1,1
SFR,191450,6862231,1,1,1
Orange,191455,6862231,1,1,0
Bouygues,191456,6862227,1,1,1
Orange,192168,6768884,1,1,0
Free,192180,6857042,0,1,1
Orange,192182,6857046,1,1,0
Bouygues,192193,6857045,1,1,0
SFR,192202,6857032,1,1,0
Orange,192332,6796132,1,1,0
SFR,192342,6845431,1,1,1
Orange,192344,6845442,1,1,1
Bouygues,192351,6845441,1,1,1
SFR,192373,6796142,1,1,1
Bouygues,192410,6796152,1,1,1
Free,192411,6796152,0,1,1
Bouygues,192543,6850040,1,1,0
Orange,192549,6850046,1,1,0
Free,192559,6845453,0,1,1
SFR,192563,6776574,1,1,1
Bouygues,192564,6776567,1,1,1
Free,192564,6776567,0,1,1
Orange,193589,6809597,1,1,1
Bouygues,194062,6810814,1,1,1
SFR,194080,6810809,1,1,1
Bouygues,194315,6857564,1,1,0
SFR,194315,6857564,1,1,0
Free,194316,6857565,0,1,0
Orange,194317,6857568,1,1,0
SFR,194359,6815889,1,1,1
Bouygues,194375,6815878,1,1,1
Orange,194780,6766586,1,1,1
Bouygues,194781,6766583,1,1,1
SFR,194785,6766575,1,1,1
Orange,194795,6851418,1,1,1
Orange,194903,6853293,0,1,0
Bouygues,194932,6784120,1,1,1
Free,194932,6784120,0,1,1
SFR,194947,6784115,1,1,1
Bouygues,195109,6852253,1,1,1
Bouygues,195160,6808813,1,1,1
SFR,195160,6808813,1,1,1
Free,195161,6808814,0,1,1
SFR,195166,6850939,1,1,1
Bouygues,195179,6850943,1,1,1
Free,195179,6850944,0,1,1
Orange,195486,6775156,1,1,0
Orange,196103,6772498,1,1,1
SFR,196107,6772488,1,1,1
Bouygues,196110,6772483,1,1,1
Free,196111,6772484,0,1,1
Bouygues,196679,6851696,1,0,0
SFR,196685,6852720,1,1,0
Bouygues,196688,6852720,1,1,0
Orange,196700,6851731,1,1,0
Free,197065,6852780,0,1,1
Orange,197074,6852771,1,1,0
SFR,197136,6851657,1,1,0
Free,197280,6850747,0,1,1
Bouygues,197305,6854247,1,0,0
Bouygues,197431,6840277,1,1,1
SFR,197478,6840311,1,1,1
SFR,197959,6853965,1,1,1
Bouygues,197961,6853959,1,1,1
Orange,197963,6853963,1,1,1
Orange,197998,6850885,1,1,1
Bouygues,198051,6771047,1,1,0
Bouygues,198739,6775449,1,1,1
SFR,198739,6775449,1,1,1
Orange,199200,6812653,1,1,0
SFR,199272,6845430,1,1,0
Bouygues,199783,6853075,1,1,1
Orange,199784,6773513,1,1,0
SFR,199787,6853078,1,1,0
Orange,199838,6847512,1,1,0
Bouygues,199853,6847426,1,1,1
SFR,199857,6847428,0,0,1
Bouygues,199933,6865526,1,1,0
SFR,199933,6865535,1,1,1
Bouygues,199938,6865539,1,1,1
Orange,199943,6865540,1,1,1
Orange,200053,6770609,1,1,1
Orange,200460,6853154,1,1,0
Bouygues,200505,6826687,1,1,1
SFR,200505,6826687,1,1,1
Free,200506,6826688,0,1,0
Orange,200508,6826696,1,1,0
Bouygues,200574,6791060,1,1,1
